economy,date,country,net_borrow,kai,kao,bank_con,legor_uk,dist_eq,bond_market_cap,bo_plbn_scaled,bo_siln_scaled,bo_pabr_scaled,bo_siar_scaled
CN,2001,China,2.824,1.0,1.0,41.82089,0.0,4438.89990234375,17.79,0.0562113560736179,0.0562113560736179,0.0562113560736179,0.0562113560736179
CN,2002,China,2.576,1.0,1.0,68.9333,0.0,4438.89990234375,23.27,0.0429737865924835,0.0429737865924835,0.0429737865924835,0.0429737865924835
CN,2003,China,2.861,1.0,1.0,74.79902,0.0,4438.89990234375,27.01,0.0370233245193958,0.0370233245193958,0.0370233245193958,0.0370233245193958
CN,2004,China,2.374,1.0,1.0,69.68111,0.0,4438.89990234375,31.52,0.031725887209177,0.031725887209177,0.031725887209177,0.031725887209177
CN,2005,China,1.499,1.0,1.0,68.05865,0.0,4438.89990234375,39.98,0.0250125061720609,0.0250125061720609,0.0250125061720609,0.0250125061720609
CN,2006,China,1.39,1.0,1.0,66.60645,0.0,4438.89990234375,42.77,0.0233808737248182,0.0233808737248182,0.0233808737248182,0.0233808737248182
CN,2007,China,1.135,1.0,1.0,54.55892,0.0,4438.89990234375,45.83,0.0218197684735059,0.0218197684735059,0.0218197684735059,0.0218197684735059
CN,2008,China,-0.059,1.0,1.0,52.28784,0.0,4438.89990234375,47.07,0.0212449543178081,0.0212449543178081,0.0212449543178081,0.0212449543178081
CN,2009,China,0.025,1.0,1.0,51.10757,0.0,4438.89990234375,50.01,0.0199960004538297,0.0199960004538297,0.0199960004538297,0.0199960004538297
CN,2010,China,1.74,1.0,1.0,48.51664,0.0,4438.89990234375,48.99,0.0204123295843601,0.0204123295843601,0.0204123295843601,0.0204123295843601
CN,2011,China,0.36,1.0,1.0,46.59615,0.0,4438.89990234375,44.23,0.0226090885698795,0.0226090885698795,0.0226090885698795,0.0226090885698795
CN,2012,China,0.098,1.0,1.0,67.98183,0.0,4438.89990234375,46.38,0.0215610172599554,0.0215610172599554,0.0215610172599554,0.0215610172599554
CN,2013,China,0.301,0.9,0.9,66.78307,0.0,4438.89990234375,49.82,0.0200722608715295,0.0200722608715295,0.0200722608715295,0.0200722608715295
CN,2014,China,0.832,0.8,0.8,40.12114,0.0,4438.89990234375,53.55,0.018674137070775,0.018674137070775,0.018674137070775,0.018674137070775
CN,2015,China,0.908,0.8,0.8,38.42558,0.0,4438.89990234375,63.39,0.0157753583043813,0.0157753583043813,0.0157753583043813,0.0157753583043813
CN,2016,China,2.786,0.9,0.9,37.28126,0.0,4438.89990234375,75.04,0.0133262258023023,0.0133262258023023,0.0133262258023023,0.0133262258023023
CN,2017,China,3.704,0.85,0.85,37.17649,0.0,4438.89990234375,78.4,0.0127551024779677,0.0127551024779677,0.0127551024779677,0.0127551024779677
CN,2018,China,3.9,,,,0.0,4438.89990234375,81.93,,,,
CN,2019,China,4.82,,,,0.0,4438.89990234375,,,,,
HK,1997,Hong Kong,-2.02,0.0,0.0,63.91216,1.0,2478.010009765625,25.32,0.0,0.0,0.0,0.0
HK,1998,Hong Kong,-6.318,0.0,0.0,60.84491,1.0,2478.010009765625,30.06,0.0,0.0,0.0,0.0
HK,1999,Hong Kong,1.801,0.0,0.0,60.04206,1.0,2478.010009765625,34.15,0.0,0.0,0.0,0.0
HK,2000,Hong Kong,-0.762,0.0,0.0,66.95145,1.0,2478.010009765625,35.28,0.0,0.0,0.0,0.0
HK,2001,Hong Kong,0.587,0.0,0.0,74.61401,1.0,2478.010009765625,37.36,0.0,0.0,0.0,0.0
HK,2002,Hong Kong,4.836,0.0,0.0,84.41093,1.0,2478.010009765625,40.94,0.0,0.0,0.0,0.0
HK,2003,Hong Kong,4.773,0.0,0.0,98.17126,1.0,2478.010009765625,44.36,0.0,0.0,0.0,0.0
HK,2004,Hong Kong,3.172,0.0,0.0,62.69627,1.0,2478.010009765625,46.16,0.0,0.0,0.0,0.0
HK,2005,Hong Kong,-1.605,0.0,0.0,60.24328,1.0,2478.010009765625,46.98,0.0,0.0,0.0,0.0
HK,2006,Hong Kong,-0.971,0.05,0.05,65.57533,1.0,2478.010009765625,49.77,0.0,0.0,0.0,0.0
HK,2007,Hong Kong,-3.833,0.05,0.05,65.91678,1.0,2478.010009765625,46.25,0.0,0.0,0.0,0.0
HK,2008,Hong Kong,-7.336,0.05,0.05,66.99383,1.0,2478.010009765625,41.94,0.0,0.0,0.0,0.0
HK,2009,Hong Kong,-0.086,0.05,0.1,64.86526,1.0,2478.010009765625,67.07,0.0,0.0,0.0,0.0
HK,2010,Hong Kong,-1.532,0.0,0.0,65.54779,1.0,2478.010009765625,71.46,0.0,0.0,0.0,0.0
HK,2011,Hong Kong,-4.136,0.0,0.0,64.31656,1.0,2478.010009765625,67.65,0.0,0.0,0.0,0.0
HK,2012,Hong Kong,-3.77,0.0,0.0,63.14673,1.0,2478.010009765625,67.53,0.0,0.0,0.0,0.0
HK,2013,Hong Kong,-3.143,0.0,0.0,61.40051,1.0,2478.010009765625,70.59,0.0,0.0,0.0,0.0
HK,2014,Hong Kong,-1.008,0.1,0.0,60.88195,1.0,2478.010009765625,66.65,0.0,0.0,0.0,0.0
HK,2015,Hong Kong,-3.592,0.1,0.0,64.03593,1.0,2478.010009765625,67.37,0.0,0.0,0.0,0.0
HK,2016,Hong Kong,-0.595,0.1,0.0,62.68477,1.0,2478.010009765625,73.55,0.0,0.0,0.0,0.0
HK,2017,Hong Kong,-4.386,0.1,0.0,56.4525,1.0,2478.010009765625,71.61,0.0,0.0,0.0,0.0
HK,2018,Hong Kong,-5.482,,,,1.0,2478.010009765625,68.6,,,,
HK,2019,Hong Kong,-2.342,,,,1.0,2478.010009765625,,,,,
ID,1997,Indonesia,-0.962,0.6111111111111112,0.3888888888888889,32.94053,0.0,689.75,2.42,,,,
ID,1998,Indonesia,1.034,0.7222222222222222,0.5,45.0331,0.0,689.75,1.45,,,,
ID,1999,Indonesia,1.893,0.7222222222222222,0.5,63.12414,0.0,689.75,31.54,,,,
ID,2000,Indonesia,0.959,0.75,0.55,55.07238,0.0,689.75,36.75,,,0.027210883796215,0.027210883796215
ID,2001,Indonesia,1.87,0.8,0.55,56.13892,0.0,689.75,30.97,,,0.0322893112897872,0.0322893112897872
ID,2002,Indonesia,1.763,0.8,0.55,54.22066,0.0,689.75,27.36,,,0.0365497060120105,0.0365497060120105
ID,2003,Indonesia,0.576,0.7,0.65,51.31766,0.0,689.75,26.95,,,0.0371057502925396,0.0371057502925396
ID,2004,Indonesia,1.077,0.7,0.65,47.25722,0.0,689.75,24.47,,,0.0408663675189018,0.0408663675189018
ID,2005,Indonesia,0.26,0.7,0.65,42.84161,0.0,689.75,19.18,,,0.0521376430988311,0.0521376430988311
ID,2006,Indonesia,-0.424,0.65,0.65,42.36975,0.0,689.75,20.66,0.0,,0.0484027117490768,0.0484027117490768
ID,2007,Indonesia,-0.372,0.7,0.7,42.3483,0.0,689.75,20.37,0.0490918010473251,,0.0490918010473251,0.0490918010473251
ID,2008,Indonesia,0.947,0.65,0.5,42.96478,0.0,689.75,14.39,0.0694927051663398,0.0,0.0,0.0694927051663398
ID,2009,Indonesia,-0.054,0.8,0.65,44.11348,0.0,689.75,15.47,0.0646412447094917,0.0,0.0646412447094917,0.0646412447094917
ID,2010,Indonesia,1.644,0.7,0.65,42.31484,0.0,689.75,13.97,0.0715819597244262,0.0,0.0715819597244262,0.0715819597244262
ID,2011,Indonesia,1.242,0.7,0.65,41.36655,0.0,689.75,12.69,0.0788022056221962,0.0,0.0788022056221962,0.0788022056221962
ID,2012,Indonesia,0.703,0.7,0.65,40.60376,0.0,689.75,12.66,0.0789889395236969,0.0,0.0789889395236969,0.0789889395236969
ID,2013,Indonesia,1.586,0.65,0.6,38.40766,0.0,689.75,13.73,0.0728332102298736,0.0,0.0728332102298736,0.0728332102298736
ID,2014,Indonesia,2.217,0.65,0.6,40.33564,0.0,689.75,14.48,0.0690607726573944,0.0,0.0690607726573944,0.0690607726573944
ID,2015,Indonesia,2.146,0.65,0.6,39.70194,0.0,689.75,15.18,0.06587615609169,0.0,0.06587615609169,0.06587615609169
ID,2016,Indonesia,2.604,0.75,0.65,39.83762,0.0,689.75,17.66,0.0566251426935195,0.0,0.0566251426935195,0.0566251426935195
ID,2017,Indonesia,2.486,0.8,0.6,40.69299,0.0,689.75,18.37,0.0544365830719471,0.0,0.0544365830719471,0.0544365830719471
ID,2018,Indonesia,2.51,,,,0.0,689.75,19.13,,,,
ID,2019,Indonesia,1.752,,,,0.0,689.75,,,,,
JP,1997,Japan,4.985,0.0,0.0,32.52925,0.0,3969.739990234375,,,,,
JP,1998,Japan,3.596,0.1,0.0,33.28231,0.0,3969.739990234375,83.0,0.0,0.0,0.0,0.0
JP,1999,Japan,10.225,0.0,0.0,31.7598,0.0,3969.739990234375,92.55,0.0,0.0,0.0,0.0
JP,2000,Japan,6.873,0.0,0.0,32.23289,0.0,3969.739990234375,98.89,0.0,0.0,0.0,0.0
JP,2001,Japan,8.252,0.0,0.0,34.96366,0.0,3969.739990234375,111.06,0.0,0.0,0.0,0.0
JP,2002,Japan,6.538,0.0,0.0,38.54346,0.0,3969.739990234375,124.34,0.0,0.0,0.0,0.0
JP,2003,Japan,7.914,0.0,0.0,36.53641,0.0,3969.739990234375,134.15,0.0,0.0,0.0,0.0
JP,2004,Japan,8.046,0.0,0.0,36.96986,0.0,3969.739990234375,146.72,0.0,0.0,0.0,0.0
JP,2005,Japan,5.881,0.0,0.0,37.19146,0.0,3969.739990234375,158.28,0.0,0.0,0.0,0.0
JP,2006,Japan,4.963,0.0,0.0,40.01756,0.0,3969.739990234375,160.35,0.0,0.0,0.0,0.0
JP,2007,Japan,3.492,0.0,0.0,38.2675,0.0,3969.739990234375,160.73,0.0,0.0,0.0,0.0
JP,2008,Japan,3.21,0.0,0.0,44.95909,0.0,3969.739990234375,165.83,0.0,0.0,0.0,0.0
JP,2009,Japan,4.531,0.0,0.0,44.64634,0.0,3969.739990234375,182.82,0.0,0.0,0.0,0.0
JP,2010,Japan,10.192,0.0,0.0,44.00381,0.0,3969.739990234375,189.99,0.0,0.0,0.0,0.0
JP,2011,Japan,9.534,0.0,0.0,43.24121,0.0,3969.739990234375,198.9,0.0,0.0,0.0,0.0
JP,2012,Japan,9.441,0.0,0.0,43.07323,0.0,3969.739990234375,204.3,0.0,0.0,0.0,0.0
JP,2013,Japan,8.613,0.0,0.0,43.0024,0.0,3969.739990234375,209.03,0.0,0.0,0.0,0.0
JP,2014,Japan,7.911,0.0,0.0,44.75411,0.0,3969.739990234375,209.07,0.0,0.0,0.0,0.0
JP,2015,Japan,5.636,0.0,0.0,44.70848,0.0,3969.739990234375,202.01,0.0,0.0,0.0,0.0
JP,2016,Japan,3.807,0.0,0.0,44.05575,0.0,3969.739990234375,210.35,0.0,0.0,0.0,0.0
JP,2017,Japan,3.694,0.0,0.0,47.47176,0.0,3969.739990234375,210.8,0.0,0.0,0.0,0.0
JP,2018,Japan,3.168,,,,0.0,3969.739990234375,214.26,,,,
JP,2019,Japan,3.213,,,,0.0,3969.739990234375,,,,,
KH,1997,Cambodia,7.536,,,,0.0,1286.0899658203125,,,,,
KH,1998,Cambodia,3.724,,,,0.0,1286.0899658203125,,,,,
KH,1999,Cambodia,5.358,,,,0.0,1286.0899658203125,,,,,
KH,2000,Cambodia,3.802,,,,0.0,1286.0899658203125,,,,,
KH,2001,Cambodia,4.815,,,,0.0,1286.0899658203125,,,,,
KH,2002,Cambodia,5.146,,,92.59236,0.0,1286.0899658203125,,,,,
KH,2003,Cambodia,6.381,,,64.60826,0.0,1286.0899658203125,,,,,
KH,2004,Cambodia,6.169,,,61.91249,0.0,1286.0899658203125,,,,,
KH,2005,Cambodia,3.562,,,60.61366,0.0,1286.0899658203125,,,,,
KH,2006,Cambodia,0.384,,,59.89514,0.0,1286.0899658203125,,,,,
KH,2007,Cambodia,0.172,,,70.24634,0.0,1286.0899658203125,,,,,
KH,2008,Cambodia,-0.727,,,72.19427,0.0,1286.0899658203125,,,,,
KH,2009,Cambodia,-0.503,,,68.06255,0.0,1286.0899658203125,,,,,
KH,2010,Cambodia,4.781,,,64.88535,0.0,1286.0899658203125,,,,,
KH,2011,Cambodia,3.795,,,56.85011,0.0,1286.0899658203125,,,,,
KH,2012,Cambodia,4.695,,,55.04861,0.0,1286.0899658203125,,,,,
KH,2013,Cambodia,4.525,,,53.27003,0.0,1286.0899658203125,,,,,
KH,2014,Cambodia,2.616,,,54.87017,0.0,1286.0899658203125,,,,,
KH,2015,Cambodia,1.643,,,41.91601,0.0,1286.0899658203125,,,,,
KH,2016,Cambodia,0.646,,,40.18404,0.0,1286.0899658203125,,,,,
KH,2017,Cambodia,0.3,,,44.76167,0.0,1286.0899658203125,,,,,
KH,2018,Cambodia,0.775,,,,0.0,1286.0899658203125,,,,,
KH,2019,Cambodia,0.829,,,,0.0,1286.0899658203125,,,,,
KR,1997,"Korea, South",-2.348,0.85,0.7,44.51984,0.0,4178.4599609375,11.41,0.087642416357994,0.087642416357994,0.0,0.0
KR,1998,"Korea, South",-2.368,0.35,0.65,83.82399,0.0,4178.4599609375,17.12,0.0,0.0,0.0,0.0
KR,1999,"Korea, South",-1.121,0.45,0.75,92.8258,0.0,4178.4599609375,17.0,0.0,0.0588235296308994,0.0,0.0
KR,2000,"Korea, South",-1.178,0.35,0.65,100.0,0.0,4178.4599609375,49.71,0.0,0.0201166775077581,0.0,0.0
KR,2001,"Korea, South",-4.05,0.35,0.55,,0.0,4178.4599609375,56.04,0.0,0.0,0.0,0.0
KR,2002,"Korea, South",-2.508,0.4,0.6,,0.0,4178.4599609375,56.49,0.0,0.0,0.0,0.0
KR,2003,"Korea, South",-3.346,0.4,0.6,100.0,0.0,4178.4599609375,58.16,0.0,0.0,0.0,0.0
KR,2004,"Korea, South",-1.564,0.4,0.7,100.0,0.0,4178.4599609375,61.38,0.0,0.0,0.0,0.0
KR,2005,"Korea, South",-0.09,0.15,0.2,100.0,0.0,4178.4599609375,65.9,0.0,0.0,0.0,0.0
KR,2006,"Korea, South",-0.823,0.15,0.15,100.0,0.0,4178.4599609375,70.48,0.0,0.0,0.0,0.0
KR,2007,"Korea, South",-1.033,0.15,0.1,,0.0,4178.4599609375,74.71,0.0,0.0,0.0,0.0
KR,2008,"Korea, South",-2.075,0.1,0.05,,0.0,4178.4599609375,77.62,0.0,0.0,0.0,0.0
KR,2009,"Korea, South",-1.457,0.1,0.05,55.66932,0.0,4178.4599609375,88.56,0.0,0.0,0.0,0.0
KR,2010,"Korea, South",-0.017,0.1,0.1,51.757,0.0,4178.4599609375,90.7,0.0,0.0,0.0,0.0
KR,2011,"Korea, South",-1.467,0.15,0.1,50.5735,0.0,4178.4599609375,95.76,0.0,0.0,0.0,0.0
KR,2012,"Korea, South",-1.622,0.15,0.1,50.41817,0.0,4178.4599609375,103.37,0.0,0.0,0.0,0.0
KR,2013,"Korea, South",-1.49,0.15,0.15,49.84227,0.0,4178.4599609375,110.24,0.0,0.0,0.0,0.0
KR,2014,"Korea, South",-0.619,0.15,0.15,50.13593,0.0,4178.4599609375,115.2,0.0,0.0,0.0,0.0
KR,2015,"Korea, South",-0.397,0.15,0.15,61.13741,0.0,4178.4599609375,121.86,0.0,0.0,0.0,0.0
KR,2016,"Korea, South",-0.522,0.2,0.15,53.08453,0.0,4178.4599609375,121.07,0.0,0.0,0.0,0.0
KR,2017,"Korea, South",-1.646,0.2,0.05,52.39502,0.0,4178.4599609375,122.43,0.0,0.0,0.0,0.0
KR,2018,"Korea, South",-2.188,,,,0.0,4178.4599609375,123.82,,,,
KR,2019,"Korea, South",-2.569,,,,0.0,4178.4599609375,,,,,
LA,1997,Lao PDR,,,,,0.0,1998.4300537109375,,,,,
LA,1998,Lao PDR,,,,,0.0,1998.4300537109375,,,,,
LA,1999,Lao PDR,,,,,0.0,1998.4300537109375,,,,,
LA,2000,Lao PDR,,,,,0.0,1998.4300537109375,,,,,
LA,2001,Lao PDR,3.576,,,,0.0,1998.4300537109375,,,,,
LA,2002,Lao PDR,3.683,,,,0.0,1998.4300537109375,,,,,
LA,2003,Lao PDR,2.85,,,,0.0,1998.4300537109375,,,,,
LA,2004,Lao PDR,3.885,,,,0.0,1998.4300537109375,,,,,
LA,2005,Lao PDR,1.81,,,,0.0,1998.4300537109375,,,,,
LA,2006,Lao PDR,2.541,,,,0.0,1998.4300537109375,,,,,
LA,2007,Lao PDR,1.482,,,,0.0,1998.4300537109375,,,,,
LA,2008,Lao PDR,1.123,,,,0.0,1998.4300537109375,,,,,
LA,2009,Lao PDR,1.858,,,,0.0,1998.4300537109375,,,,,
LA,2010,Lao PDR,3.096,,,,0.0,1998.4300537109375,,,,,
LA,2011,Lao PDR,1.469,,,,0.0,1998.4300537109375,,,,,
LA,2012,Lao PDR,1.429,,,,0.0,1998.4300537109375,,,,,
LA,2013,Lao PDR,2.343,,,,0.0,1998.4300537109375,,,,,
LA,2014,Lao PDR,4.031,,,,0.0,1998.4300537109375,,,,,
LA,2015,Lao PDR,3.132,,,,0.0,1998.4300537109375,,,,,
LA,2016,Lao PDR,5.57,,,,0.0,1998.4300537109375,,,,,
LA,2017,Lao PDR,5.06,,,,0.0,1998.4300537109375,,,,,
LA,2018,Lao PDR,5.487,,,,0.0,1998.4300537109375,,,,,
LA,2019,Lao PDR,4.42,,,,0.0,1998.4300537109375,,,,,
MM,1997,Myanmar,,1.0,0.25,,0.0,2196.22998046875,,,,,
MM,1998,Myanmar,,1.0,0.25,100.0,0.0,2196.22998046875,,,,,
MM,1999,Myanmar,4.133,1.0,0.25,,0.0,2196.22998046875,,,,,
MM,2000,Myanmar,3.846,1.0,0.25,100.0,0.0,2196.22998046875,,,,,
MM,2001,Myanmar,4.788,1.0,0.25,,0.0,2196.22998046875,,,,,
MM,2002,Myanmar,4.901,1.0,0.25,,0.0,2196.22998046875,,,,,
MM,2003,Myanmar,3.389,1.0,0.25,,0.0,2196.22998046875,,,,,
MM,2004,Myanmar,3.732,1.0,0.25,100.0,0.0,2196.22998046875,,,,,
MM,2005,Myanmar,3.917,1.0,0.25,100.0,0.0,2196.22998046875,,,,,
MM,2006,Myanmar,3.011,0.8333333333333334,0.2,100.0,0.0,2196.22998046875,,,,,
MM,2007,Myanmar,3.074,0.8333333333333334,0.2,100.0,0.0,2196.22998046875,,,,,
MM,2008,Myanmar,3.352,0.9,0.6666666666666666,100.0,0.0,2196.22998046875,,,,,
MM,2009,Myanmar,2.633,1.0,1.0,100.0,0.0,2196.22998046875,,,,,
MM,2010,Myanmar,3.239,1.0,1.0,100.0,0.0,2196.22998046875,,,,,
MM,2011,Myanmar,4.777,1.0,1.0,94.34845,0.0,2196.22998046875,,,,,
MM,2012,Myanmar,4.43,1.0,1.0,88.65042,0.0,2196.22998046875,,,,,
MM,2013,Myanmar,2.651,1.0,1.0,90.35998,0.0,2196.22998046875,,,,,
MM,2014,Myanmar,1.717,1.0,1.0,96.27286,0.0,2196.22998046875,,,,,
MM,2015,Myanmar,1.315,0.9,0.9,100.0,0.0,2196.22998046875,,,,,
MM,2016,Myanmar,2.783,0.9,0.9,100.0,0.0,2196.22998046875,,,,,
MM,2017,Myanmar,3.472,0.9,0.9,96.02164,0.0,2196.22998046875,,,,,
MM,2018,Myanmar,2.612,,,,0.0,2196.22998046875,,,,,
MM,2019,Myanmar,2.628,,,,0.0,2196.22998046875,,,,,
MY,1997,Malaysia,-3.27,0.8,0.8,53.89921,1.0,303.0299987792969,,,,,
MY,1998,Malaysia,-4.84,0.8,0.8,50.25794,1.0,303.0299987792969,,,,,
MY,1999,Malaysia,0.627,0.8,0.75,36.44471,1.0,303.0299987792969,,,,,
MY,2000,Malaysia,3.003,0.8,0.8,56.83503,1.0,303.0299987792969,73.25,0.0,0.0136518767103552,0.0136518767103552,0.0136518767103552
MY,2001,Malaysia,6.053,0.8,0.85,61.72701,1.0,303.0299987792969,84.19,0.0118778953328728,0.0118778953328728,0.0118778953328728,0.0118778953328728
MY,2002,Malaysia,4.361,0.8,0.85,62.9077,1.0,303.0299987792969,78.16,0.0127942683175206,0.0127942683175206,0.0127942683175206,0.0127942683175206
MY,2003,Malaysia,3.96,0.8,0.8,70.21215,1.0,303.0299987792969,85.03,0.0117605552077293,0.0117605552077293,0.0117605552077293,0.0117605552077293
MY,2004,Malaysia,4.597,0.75,0.85,84.11662,1.0,303.0299987792969,77.57,0.0,0.0128915822133421,0.0128915822133421,0.0128915822133421
MY,2005,Malaysia,3.353,0.8,0.85,95.4977,1.0,303.0299987792969,74.37,0.0,0.0134462816640734,0.0134462816640734,0.0134462816640734
MY,2006,Malaysia,2.833,0.75,0.85,100.0,1.0,303.0299987792969,73.69,0.0,0.013570362702012,0.013570362702012,0.013570362702012
MY,2007,Malaysia,2.602,0.65,0.85,99.16374,1.0,303.0299987792969,81.89,0.0,0.0122115034610033,0.0122115034610033,0.0122115034610033
MY,2008,Malaysia,2.571,0.75,0.95,100.0,1.0,303.0299987792969,74.81,0.0,0.0133671965450048,0.0133671965450048,0.0133671965450048
MY,2009,Malaysia,3.405,0.65,0.95,100.0,1.0,303.0299987792969,89.12,0.0,0.0112208258360624,0.0112208258360624,0.0112208258360624
MY,2010,Malaysia,5.88,0.65,0.95,95.26037,1.0,303.0299987792969,91.95,0.0,0.0108754755929112,0.0108754755929112,0.0108754755929112
MY,2011,Malaysia,4.319,0.65,0.85,53.5457,1.0,303.0299987792969,91.45,0.0,0.0109349368140101,0.0109349368140101,0.0109349368140101
MY,2012,Malaysia,3.568,0.65,0.85,45.80321,1.0,303.0299987792969,102.93,0.0,0.0097153401002287,0.0097153401002287,0.0097153401002287
MY,2013,Malaysia,3.103,0.8,0.95,46.91338,1.0,303.0299987792969,100.35,0.0,0.0099651217460632,0.0099651217460632,0.0099651217460632
MY,2014,Malaysia,3.478,0.8,0.95,48.51709,1.0,303.0299987792969,99.73,0.0,0.0100270733237266,0.0100270733237266,0.0100270733237266
MY,2015,Malaysia,2.628,0.8,0.95,51.56938,1.0,303.0299987792969,95.08,0.0,0.0105174593627452,0.0105174593627452,0.0105174593627452
MY,2016,Malaysia,2.546,0.8,0.95,51.93891,1.0,303.0299987792969,94.96,0.0,0.010530749335885,0.010530749335885,0.010530749335885
MY,2017,Malaysia,2.603,0.8,0.95,55.36604,1.0,303.0299987792969,98.95,0.0,0.0101061137393116,0.0101061137393116,0.0101061137393116
MY,2018,Malaysia,2.404,,,,1.0,303.0299987792969,102.89,,,,
MY,2019,Malaysia,3.586,,,,1.0,303.0299987792969,,,,,
PH,1997,Philippines,-0.554,0.7,0.9,77.61504,0.0,1622.9100341796875,,,,,
PH,1998,Philippines,-0.379,0.6,0.9,80.37837,0.0,1622.9100341796875,,,,,
PH,1999,Philippines,1.35,0.6,0.9,87.3418,0.0,1622.9100341796875,,,,,
PH,2000,Philippines,2.36,0.6,0.9,100.0,0.0,1622.9100341796875,29.3,0.0,0.0341296941041946,0.0341296941041946,0.0341296941041946
PH,2001,Philippines,3.381,0.6,0.9,,0.0,1622.9100341796875,31.63,0.0,0.0316155552864074,0.0316155552864074,0.0316155552864074
PH,2002,Philippines,3.616,0.6,0.9,100.0,0.0,1622.9100341796875,34.22,0.0,0.0292226765304803,0.0292226765304803,0.0292226765304803
PH,2003,Philippines,3.841,0.7,0.9,98.729,0.0,1622.9100341796875,37.67,0.0,0.0265463236719369,0.0265463236719369,0.0265463236719369
PH,2004,Philippines,3.621,0.85,1.0,41.49891,0.0,1622.9100341796875,39.65,0.0252206809818744,0.0252206809818744,0.0252206809818744,0.0252206809818744
PH,2005,Philippines,2.919,0.9,1.0,41.21859,0.0,1622.9100341796875,39.39,0.0253871548920869,0.0253871548920869,0.0253871548920869,0.0253871548920869
PH,2006,Philippines,1.693,0.75,1.0,39.60983,0.0,1622.9100341796875,36.87,0.0,0.0271223224699497,0.0271223224699497,0.0271223224699497
PH,2007,Philippines,0.048,0.75,1.0,47.18948,0.0,1622.9100341796875,34.71,0.0,0.028810141608119,0.028810141608119,0.028810141608119
PH,2008,Philippines,0.298,0.75,1.0,47.50814,0.0,1622.9100341796875,34.89,0.0,0.0286615081131458,0.0286615081131458,0.0286615081131458
PH,2009,Philippines,-0.017,0.75,1.0,46.66296,0.0,1622.9100341796875,36.28,0.0,0.0275633949786424,0.0275633949786424,0.0275633949786424
PH,2010,Philippines,2.685,0.75,1.0,47.60944,0.0,1622.9100341796875,35.57,0.0,0.028113579377532,0.028113579377532,0.028113579377532
PH,2011,Philippines,2.353,0.75,1.0,40.58406,0.0,1622.9100341796875,34.91,0.0,0.0286450870335102,0.0286450870335102,0.0286450870335102
PH,2012,Philippines,0.318,0.75,1.0,41.30985,0.0,1622.9100341796875,38.48,0.0,0.0259875264018774,0.0259875264018774,0.0259875264018774
PH,2013,Philippines,0.304,0.75,1.0,43.37424,0.0,1622.9100341796875,38.28,0.0,0.0261233020573854,0.0261233020573854,0.0261233020573854
PH,2014,Philippines,-0.196,0.75,1.0,45.15558,0.0,1622.9100341796875,36.91,0.0,0.0270929280668497,0.0270929280668497,0.0270929280668497
PH,2015,Philippines,-0.864,0.75,1.0,46.00946,0.0,1622.9100341796875,35.73,0.0,0.0279876850545406,0.0279876850545406,0.0279876850545406
